player_fotmob_id,season_start,name,team,role,fantavoto_medio,n_votes,n_matches,match_method
570830,2023,Haas,Empoli,MID,5.0,1,1,last_name_team_role
,2023,Jagiello,Genoa,MID,5.0,1,1,unmatched
1531814,2023,Mateus Lusuardi,Frosinone,DEF,5.0,3,3,last_name_team_role_season
,2023,Sekulov,Juventus,MID,5.0,1,1,unmatched
491784,2023,Montipo',Verona,GK,4.986,37,37,last_name_team_role_season
772168,2023,Martinez Jo.,Genoa,GK,4.972,36,36,last_name_team_role_season
577912,2023,Meret,Napoli,GK,4.968,31,31,last_name_team_role_season
1091193,2023,Okoye,Udinese,GK,4.929,21,21,last_name_team_role_season
362200,2023,Falcone,Lecce,GK,4.908,38,38,last_name_team_role_season
872362,2023,Kumbulla,Sassuolo,DEF,4.9,5,5,last_name_team_role_season
466439,2023,Maignan,Milan,GK,4.862,29,29,last_name_team_role_season
,2023,Gollini,Napoli,GK,4.857,7,7,unmatched
1412942,2023,Matturro,Genoa,DEF,4.833,3,3,last_name_team_role_season
40604,2023,Rui Patricio,Roma,GK,4.783,23,23,last_name_role
35644,2023,Mirante,Milan,GK,4.75,2,2,last_name_team_role_season
212630,2023,Sportiello,Milan,GK,4.571,7,7,last_name_team_role_season
191080,2023,Donati,Monza,DEF,4.5,1,1,last_name_team_role_season
1526689,2023,Jimenez A.,Milan,DEF,4.5,1,1,last_name_team_role_season
1420260,2023,Martinelli T.,Fiorentina,GK,4.5,1,1,last_name_team_role_season
1326881,2023,Nava,Milan,GK,4.5,1,1,last_name_team_role_season
,2023,Nonge,Juventus,MID,4.5,1,1,unmatched
39170,2023,Consigli,Sassuolo,GK,4.443,35,35,last_name_team_role_season
869054,2023,Turati,Frosinone,GK,4.419,31,31,last_name_team_role_season
39220,2023,Mancosu,Cagliari,MID,4.333,3,3,last_name_team_role_season
423223,2023,Scuffet,Cagliari,GK,4.306,31,31,last_name_team_role_season
822252,2023,Cerofolini,Frosinone,GK,4.25,8,8,last_name_team_role_season
31047,2023,Ochoa,Salernitana,GK,4.214,21,21,last_name_team_role_season
165952,2023,Silvestri,Udinese,GK,4.176,17,17,last_name_team_role_season
435684,2023,Radunovic,Cagliari,GK,4.0,7,7,last_name_team_role_season
11319,2023,Costil,Salernitana,GK,3.962,13,13,last_name_team_role_season
49541,2023,Fiorillo,Salernitana,GK,3.875,4,4,last_name_team_role_season
1083606,2023,Sorrentino A.,Monza,GK,3.714,7,7,last_name_team_role_season
282706,2023,Cragno,Sassuolo,GK,3.667,3,3,last_name_team_role_season
806972,2023,Christensen O.,Fiorentina,GK,3.25,4,4,last_name_team_role_season
636949,2023,Perisan,Empoli,GK,3.0,1,1,last_name_team_role_season
1005792,2023,Gemello,Torino,GK,2.5,2,2,last_name_team_role_season
905546,2024,Retegui,Atalanta,FWD,8.667,36,36,last_name_team_role_season
